"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39368","Product HOST_AI_SUGGESTIONS_TEST_12","AI Score Tests - TEST","Wed Sep 24 04:17:34 UTC 2025","failed","Wed Sep 24 04:18:14 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","10162","Product HOST_AI_SUGGESTIONS_TEST_07","AI Score Tests - TEST","Wed Sep 24 04:18:16 UTC 2025","passed","Wed Sep 24 04:18:27 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","11214","Product HOST_AI_SUGGESTIONS_TEST_02","AI Score Tests - TEST","Wed Sep 24 04:17:07 UTC 2025","passed","Wed Sep 24 04:17:18 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","15017","Product HOST_AI_SUGGESTIONS_TEST_13","AI Score Tests - TEST","Wed Sep 24 04:18:15 UTC 2025","passed","Wed Sep 24 04:18:30 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","26885","Product HOST_AI_SUGGESTIONS_TEST_09","AI Score Tests - TEST","Wed Sep 24 04:19:54 UTC 2025","failed","Wed Sep 24 04:20:21 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","13451","Product HOST_AI_SUGGESTIONS_TEST_17","AI Score Tests - TEST","Wed Sep 24 04:19:30 UTC 2025","passed","Wed Sep 24 04:19:43 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","2461","Product HOST_AI_SUGGESTIONS_TEST_20","AI Score Tests - TEST","Wed Sep 24 04:20:57 UTC 2025","passed","Wed Sep 24 04:20:59 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","16809","Product HOST_AI_SUGGESTIONS_TEST_10","AI Score Tests - TEST","Wed Sep 24 04:20:51 UTC 2025","passed","Wed Sep 24 04:21:08 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","10600","Product HOST_AI_SUGGESTIONS_TEST_16","AI Score Tests - TEST","Wed Sep 24 04:19:18 UTC 2025","failed","Wed Sep 24 04:19:29 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","11874","Product HOST_AI_SUGGESTIONS_TEST_08","AI Score Tests - TEST","Wed Sep 24 04:18:27 UTC 2025","passed","Wed Sep 24 04:18:38 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","14923","Product HOST_AI_SUGGESTIONS_TEST_05","AI Score Tests - TEST","Wed Sep 24 04:17:48 UTC 2025","passed","Wed Sep 24 04:18:03 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","12845","Product HOST_AI_SUGGESTIONS_TEST_04","AI Score Tests - TEST","Wed Sep 24 04:17:35 UTC 2025","passed","Wed Sep 24 04:17:48 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","28269","Product HOST_AI_SUGGESTIONS_TEST_11","AI Score Tests - TEST","Wed Sep 24 04:15:47 UTC 2025","passed","Wed Sep 24 04:16:15 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","16209","Product HOST_AI_SUGGESTIONS_TEST_14","AI Score Tests - TEST","Wed Sep 24 04:18:31 UTC 2025","passed","Wed Sep 24 04:18:47 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","10359","Product HOST_AI_SUGGESTIONS_TEST_01","AI Score Tests - TEST","Wed Sep 24 04:16:03 UTC 2025","passed","Wed Sep 24 04:16:13 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","13193","Product HOST_AI_SUGGESTIONS_TEST_06","AI Score Tests - TEST","Wed Sep 24 04:18:03 UTC 2025","passed","Wed Sep 24 04:18:16 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","3529","Product HOST_AI_SUGGESTIONS_TEST_21","AI Score Tests - TEST","Wed Sep 24 04:21:09 UTC 2025","failed","Wed Sep 24 04:21:12 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","16441","Product HOST_AI_SUGGESTIONS_TEST_03","AI Score Tests - TEST","Wed Sep 24 04:17:19 UTC 2025","passed","Wed Sep 24 04:17:35 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","10494","Product HOST_AI_SUGGESTIONS_TEST_18","AI Score Tests - TEST","Wed Sep 24 04:19:57 UTC 2025","passed","Wed Sep 24 04:20:08 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
"","16194","Product HOST_AI_SUGGESTIONS_TEST_19","AI Score Tests - TEST","Wed Sep 24 04:20:39 UTC 2025","failed","Wed Sep 24 04:20:55 UTC 2025","AI OCR suggestions – scoring harness","ai-score/ai-suggest.spec.ts","",""
